round,accuracy,clusters_accuracy,elapsed_time
1,0.098,0; 0; 0; 0; 0,27.20461893081665
2,0.098,0; 0; 0; 0; 0,54.4092378616333
3,0.4907,0; 0.457; 0.4507; 0.1911; 0.4907,75.13098478317261
4,0.7237,0.608; 0.7012; 0.7237; 0.646; 0.6213,97.30780172348022
5,0.8349,0.7499; 0.8259; 0.8349; 0.8029; 0.6926,119.48461866378784
6,0.9089,0.8537; 0.904; 0.8349; 0.8326; 0.9089,146.6892375946045
7,0.9402,0.8537; 0.8538; 0.9402; 0.8656; 0.8492,167.40456819534302
8,0.9503,0.9503; 0.9342; 0.9402; 0.8629; 0.8492,194.60918712615967
9,0.9558,0.9558; 0.9038; 0.8924; 0.8934; 0.8492,217.18475937843323
10,0.9557,0.9224; 0.9543; 0.9557; 0.8934; 0.9544,239.36157631874084
