round,accuracy,clusters_accuracy,elapsed_time
1,0.20535,0; 0; 0.1856; 0.1611; 0.20535,112.87786149978638
2,0.37805,0; 0; 0.3613; 0.37805; 0.20535,214.0223319530487
3,0.43325,0.39645; 0; 0.43325; 0.37805; 0.41,326.9001934528351
4,0.48585,0.48585; 0; 0.43325; 0.37805; 0.44455,439.77805495262146
5,0.48785,0.46315; 0.48785; 0.46925; 0.37805; 0.44455,543.3547079563141
6,0.50455,0.48855; 0.48785; 0.4933; 0.50455; 0.44455,649.1963849067688
7,0.5108,0.5108; 0.48785; 0.50735; 0.4921; 0.44455,752.4850625991821
8,0.55165,0.5108; 0.48785; 0.55165; 0.4921; 0.52405,865.3629240989685
9,0.54815,0.5108; 0.53925; 0.5345; 0.54815; 0.52405,967.5296626091003
10,0.55645,0.5108; 0.53925; 0.54695; 0.55645; 0.52405,1070.1697909832
11,0.5603,0.55145; 0.53925; 0.54695; 0.5603; 0.52405,1176.0114679336548
12,0.553,0.54685; 0.5522; 0.54695; 0.553; 0.52405,1279.5881209373474
13,0.5708,0.54685; 0.5522; 0.5708; 0.553; 0.5464,1392.4659824371338
14,0.5708,0.5602; 0.5651; 0.5708; 0.5675; 0.5464,1498.3076593875885
15,0.5708,0.5596; 0.5651; 0.5708; 0.5675; 0.55785,1611.1855208873749
16,0.5825,0.5825; 0.5651; 0.5572; 0.5675; 0.55785,1714.7621738910675
17,0.5802,0.5758; 0.5651; 0.5721; 0.5802; 0.55785,1820.6038508415222
18,0.59095,0.59095; 0.5651; 0.5721; 0.5802; 0.55785,1926.445527791977
19,0.5922,0.5661; 0.5651; 0.5922; 0.5802; 0.55785,2030.0221807956696
20,0.5783,0.5737; 0.5651; 0.5783; 0.57645; 0.55785,2133.598833799362
21,0.59155,0.59155; 0.5651; 0.5783; 0.57605; 0.55785,2237.175486803055
22,0.5859,0.5843; 0.5859; 0.5783; 0.5823; 0.55785,2340.464164495468
23,0.59035,0.5843; 0.586; 0.59035; 0.5856; 0.55785,2443.104292869568
24,0.59035,0.58485; 0.58835; 0.59035; 0.5842; 0.55785,2546.6809458732605
25,0.60095,0.60095; 0.58835; 0.5911; 0.5842; 0.55785,2650.257598876953
